OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00068977,E01013663,4,Multicultural Metropolitans,347
E00068972,E01013659,4,Multicultural Metropolitans,359
E00069109,E01013693,8,Hard-Pressed Living,371
E00069188,E01013703,4,Multicultural Metropolitans,299
E00069052,E01013674,8,Hard-Pressed Living,293
E00165826,E01032599,6,Suburbanites,269
E00165827,E01032599,6,Suburbanites,345
E00068897,E01013650,2,Cosmopolitans,308
E00068814,E01013639,4,Multicultural Metropolitans,319
E00068816,E01013638,8,Hard-Pressed Living,401
E00068895,E01013642,2,Cosmopolitans,257
E00068810,E01013624,4,Multicultural Metropolitans,340
E00068891,E01013642,2,Cosmopolitans,269
E00069368,E01013744,4,Multicultural Metropolitans,394
E00069284,E01013723,7,Constrained City Dwellers,332
E00069287,E01013726,7,Constrained City Dwellers,357
E00069206,E01013710,2,Cosmopolitans,256
E00069204,E01032599,4,Multicultural Metropolitans,299
E00069285,E01013723,4,Multicultural Metropolitans,375
E00069205,E01013710,4,Multicultural Metropolitans,400
E00069289,E01013723,4,Multicultural Metropolitans,349
E00069208,E01013702,5,Urbanites,311
E00169550,E01013648,3,Ethnicity Central,221
E00169551,E01013778,2,Cosmopolitans,236
E00169556,E01032865,4,Multicultural Metropolitans,444
E00169558,E01032863,4,Multicultural Metropolitans,358
E00169559,E01032862,4,Multicultural Metropolitans,375
E00068756,E01013616,4,Multicultural Metropolitans,285
E00069469,E01013770,4,Multicultural Metropolitans,362
E00068755,E01013618,4,Multicultural Metropolitans,297
E00068754,E01013616,4,Multicultural Metropolitans,276
E00068752,E01013616,5,Urbanites,261
E00068753,E01013615,6,Suburbanites,268
E00068750,E01013616,5,Urbanites,260
E00068751,E01013618,5,Urbanites,341
E00068758,E01013618,4,Multicultural Metropolitans,275
E00068759,E01013617,4,Multicultural Metropolitans,231
E00068667,E01013601,4,Multicultural Metropolitans,288
E00068665,E01013600,4,Multicultural Metropolitans,382
E00068662,E01013606,4,Multicultural Metropolitans,338
E00068663,E01013607,4,Multicultural Metropolitans,359
E00068660,E01013606,4,Multicultural Metropolitans,280
E00068661,E01013605,4,Multicultural Metropolitans,320
E00068668,E01013600,4,Multicultural Metropolitans,341
E00068944,E01013654,4,Multicultural Metropolitans,491
E00068942,E01013655,4,Multicultural Metropolitans,399
E00068948,E01013660,4,Multicultural Metropolitans,503
E00069197,E01013706,6,Suburbanites,330
E00069116,E01013689,4,Multicultural Metropolitans,305
E00069117,E01013687,4,Multicultural Metropolitans,346
E00069196,E01013706,5,Urbanites,309
E00069296,E01013726,3,Ethnicity Central,298
E00069195,E01013705,4,Multicultural Metropolitans,306
E00069114,E01013687,2,Cosmopolitans,314
E00069194,E01013705,3,Ethnicity Central,259
E00069115,E01013688,4,Multicultural Metropolitans,311
E00069112,E01013688,4,Multicultural Metropolitans,305
E00069193,E01013707,4,Multicultural Metropolitans,355
E00069191,E01013704,5,Urbanites,242
E00069110,E01013692,8,Hard-Pressed Living,378
E00069118,E01013690,4,Multicultural Metropolitans,267
E00069199,E01013707,6,Suburbanites,281
E00069198,E01013703,6,Suburbanites,342
E00069119,E01013688,4,Multicultural Metropolitans,249
E00069026,E01013674,8,Hard-Pressed Living,346
E00069027,E01013676,8,Hard-Pressed Living,439
E00165830,E01032602,7,Constrained City Dwellers,295
E00069022,E01013678,6,Suburbanites,383
E00069023,E01013675,8,Hard-Pressed Living,286
E00069020,E01013673,8,Hard-Pressed Living,377
E00169520,E01013713,4,Multicultural Metropolitans,444
E00069398,E01013755,3,Ethnicity Central,484
E00069370,E01013742,4,Multicultural Metropolitans,573
E00069376,E01013750,4,Multicultural Metropolitans,433
E00069374,E01013748,3,Ethnicity Central,361
E00069375,E01013751,4,Multicultural Metropolitans,541
E00069373,E01013744,4,Multicultural Metropolitans,420
E00069378,E01013751,4,Multicultural Metropolitans,538
E00069216,E01013715,4,Multicultural Metropolitans,586
E00069297,E01032602,8,Hard-Pressed Living,368
E00069295,E01013728,8,Hard-Pressed Living,309
E00069212,E01013711,5,Urbanites,281
E00069290,E01013726,7,Constrained City Dwellers,274
E00069211,E01013711,2,Cosmopolitans,375
E00069218,E01013717,4,Multicultural Metropolitans,234
